,Datetime,Day of the Year,Description,District,Neighborhood
13689,2016-09-28 14:30:00,272,burglary,southern,lakeland
13690,2016-09-28 14:27:00,272,common assault,northern,barclay
13695,2016-09-28 13:54:00,272,agg. assault,northwestern,howard park
13696,2016-09-28 13:54:00,272,agg. assault,northwestern,howard park
13697,2016-09-28 13:35:00,272,larceny,northeastern,belair-edison
13702,2016-09-28 13:05:00,272,agg. assault,central,upton
13704,2016-09-28 13:00:00,272,larceny,southern,brooklyn
13705,2016-09-28 13:00:00,272,larceny,southern,cherry hill
13716,2016-09-28 11:45:00,272,larceny from auto,southwestern,irvington
13720,2016-09-28 11:00:00,272,larceny,southeastern,inner harbor
13725,2016-09-28 10:30:00,272,larceny from auto,eastern,middle east
13732,2016-09-28 09:20:00,272,larceny,northeastern,belair-edison
13734,2016-09-28 09:00:00,272,common assault,northwestern,howard park
13735,2016-09-28 09:00:00,272,burglary,northeastern,frankford
13737,2016-09-28 09:00:00,272,auto theft,northeastern,frankford
13738,2016-09-28 08:48:00,272,burglary,southern,brooklyn
13741,2016-09-28 08:04:00,272,agg. assault,western,sandtown-winchester
13742,2016-09-28 08:00:00,272,burglary,southeastern,highlandtown
13748,2016-09-28 06:48:00,272,larceny,southwestern,morrell park
13750,2016-09-28 05:30:00,272,larceny from auto,southern,cherry hill
13751,2016-09-28 05:30:00,272,larceny from auto,southern,brooklyn
13752,2016-09-28 05:30:00,272,larceny,southwestern,walbrook
13753,2016-09-28 05:05:00,272,burglary,northern,homeland
13756,2016-09-28 04:30:00,272,burglary,western,poppleton
13758,2016-09-27 21:00:00,271,burglary,central,downtown
13760,2016-09-28 03:54:00,272,larceny from auto,central,seton hill
13761,2016-09-28 03:54:00,272,larceny from auto,central,seton hill
13762,2016-09-28 03:54:00,272,larceny from auto,central,seton hill
13763,2016-09-28 03:22:00,272,burglary,southwestern,irvington
13764,2016-09-28 02:20:00,272,auto theft,central,downtown
13766,2016-09-28 02:04:00,272,robbery - commercial,northeastern,frankford
13768,2016-09-28 01:50:00,272,larceny,central,downtown
13770,2016-09-28 01:00:00,272,burglary,northern,hampden
13771,2016-09-28 01:00:00,272,burglary,northern,coldspring
13777,2016-09-27 22:50:00,271,robbery - commercial,northeastern,frankford
13778,2016-09-27 22:00:00,271,burglary,southern,brooklyn
13780,2016-09-27 22:00:00,271,larceny from auto,central,downtown
13782,2016-09-27 22:00:00,271,auto theft,southeastern,canton
13785,2016-09-27 21:25:00,271,agg. assault,southwestern,edmondson village
13789,2016-09-27 21:00:00,271,auto theft,southwestern,edmondson village
13791,2016-09-27 20:32:00,271,agg. assault,western,druid heights
13793,2016-09-27 20:30:00,271,robbery - street,southeastern,fells point
13805,2016-09-27 19:16:00,271,larceny from auto,southwestern,irvington
13806,2016-09-27 19:00:00,271,burglary,western,sandtown-winchester
13808,2016-09-27 18:40:00,271,agg. assault,southwestern,morrell park
13809,2016-09-27 18:30:00,271,larceny,southern,hollins market
13810,2016-09-27 18:30:00,271,auto theft,eastern,middle east
13811,2016-09-27 18:03:00,271,larceny from auto,northern,remington
13818,2016-09-27 17:30:00,271,robbery - street,northeastern,frankford
13821,2016-09-27 17:20:00,271,agg. assault,western,penn north
13823,2016-09-27 17:00:00,271,larceny from auto,central,seton hill
13824,2016-09-27 17:00:00,271,larceny,southern,brooklyn
13830,2016-09-27 16:30:00,271,common assault,central,downtown
13831,2016-09-27 16:30:00,271,larceny,northern,homeland
13833,2016-09-27 16:20:00,271,larceny,central,downtown
13835,2016-09-27 16:00:00,271,burglary,central,druid heights
13838,2016-09-27 15:30:00,271,common assault,southwestern,beechfield
13839,2016-09-27 15:30:00,271,common assault,southwestern,beechfield
13846,2016-09-27 15:00:00,271,larceny,northern,hampden
13847,2016-09-27 15:00:00,271,auto theft,southern,federal hill
13850,2016-09-27 14:20:00,271,common assault,northeastern,frankford
13854,2016-09-27 13:38:00,271,shooting,western,sandtown-winchester
13855,2016-09-27 13:38:00,271,shooting,western,sandtown-winchester
13858,2016-09-27 13:50:00,271,agg. assault,southern,lakeland
13859,2016-09-27 13:50:00,271,common assault,southern,lakeland
13861,2016-09-27 13:30:00,271,burglary,southern,brooklyn
13863,2016-09-27 13:21:00,271,agg. assault,northern,coldspring
13867,2016-09-27 13:00:00,271,robbery - commercial,southern,brooklyn
13870,2016-09-27 12:35:00,271,common assault,central,inner harbor
13874,2016-09-27 12:00:00,271,agg. assault,northeastern,belair-edison
13876,2016-09-27 12:00:00,271,burglary,southern,lakeland
13877,2016-09-27 12:00:00,271,larceny from auto,central,downtown
13880,2016-09-27 11:35:00,271,common assault,northeastern,frankford
13888,2016-09-27 10:58:00,271,larceny,northeastern,belair-edison
13889,2016-09-27 10:50:00,271,larceny,southern,lakeland
13892,2016-09-27 10:10:00,271,larceny,southeastern,fells point
13893,2016-09-27 10:08:00,271,robbery - carjacking,western,poppleton
13894,2016-09-27 10:00:00,271,larceny from auto,northern,homeland
13897,2016-09-27 09:47:00,271,common assault,western,poppleton
13898,2016-09-27 09:30:00,271,larceny from auto,southeastern,inner harbor
13899,2016-09-27 09:07:00,271,agg. assault,central,upton
13900,2016-09-27 09:00:00,271,burglary,northern,medfield
13911,2016-09-27 07:30:00,271,burglary,southern,cherry hill
13912,2016-09-27 07:30:00,271,larceny from auto,central,seton hill
13915,2016-09-27 05:30:00,271,burglary,southern,westport
13919,2016-09-27 03:20:00,271,burglary,northwestern,ashburton
13920,2016-09-27 03:17:00,271,auto theft,northern,hampden
13921,2016-09-27 01:30:00,271,auto theft,northwestern,arlington
13922,2016-09-27 01:25:00,271,larceny from auto,central,downtown
13927,2016-09-27 00:02:00,271,robbery - street,central,downtown
13928,2016-09-26 23:35:00,270,robbery - street,western,penn north
13936,2016-09-26 22:00:00,270,larceny from auto,western,druid heights
13938,2016-09-26 22:00:00,270,larceny,southwestern,beechfield
13941,2016-09-26 21:29:00,270,robbery - street,northeastern,lauraville
13944,2016-09-26 21:01:00,270,agg. assault,northwestern,arlington
13945,2016-09-26 21:00:00,270,burglary,eastern,barclay
13951,2016-09-26 20:30:00,270,larceny,central,inner harbor
13952,2016-09-26 20:05:00,270,agg. assault,central,upton
13955,2016-09-26 19:46:00,270,robbery - commercial,western,sandtown-winchester
13958,2016-09-26 19:30:00,270,burglary,southeastern,canton
13965,2016-09-26 19:00:00,270,auto theft,southwestern,morrell park
13967,2016-09-26 18:38:00,270,larceny,southeastern,canton
13973,2016-09-26 18:00:00,270,agg. assault,central,druid heights
13974,2016-09-26 18:00:00,270,burglary,northwestern,cheswolde
13976,2016-09-26 18:00:00,270,larceny from auto,northwestern,dorchester
13982,2016-09-26 17:33:00,270,robbery - street,central,downtown
13983,2016-09-26 17:30:00,270,larceny from auto,southern,cherry hill
13985,2016-09-26 17:00:00,270,assault by threat,central,downtown
13990,2016-09-26 16:00:00,270,larceny from auto,southwestern,edmondson village
13993,2016-09-26 15:35:00,270,robbery - street,central,downtown
13998,2016-09-26 15:20:00,270,burglary,northwestern,ashburton
13999,2016-09-26 15:00:00,270,common assault,northeastern,belair-edison
14002,2016-09-26 14:00:00,270,burglary,southwestern,morrell park
14004,2016-09-26 13:30:00,270,common assault,southern,hollins market
14005,2016-09-26 13:12:00,270,larceny,northeastern,belair-edison
14008,2016-09-26 13:00:00,270,larceny from auto,southern,brooklyn
14011,2016-09-26 12:15:00,270,larceny,central,inner harbor
14012,2016-09-26 12:05:00,270,agg. assault,central,upton
14014,2016-09-26 12:00:00,270,larceny,southwestern,dickeyville
14017,2016-09-26 11:45:00,270,larceny,central,downtown
14018,2016-09-26 11:33:00,270,burglary,northern,hampden
14021,2016-09-26 10:35:00,270,assault by threat,western,sandtown-winchester
14029,2016-09-26 10:00:00,270,auto theft,southeastern,canton
14033,2016-09-26 08:30:00,270,burglary,southeastern,canton
14034,2016-09-26 08:00:00,270,burglary,southeastern,canton
14041,2016-09-26 07:00:00,270,burglary,northwestern,howard park
14043,2016-09-26 06:00:00,270,robbery - commercial,northeastern,frankford
14045,2016-09-26 00:59:00,270,robbery - commercial,southern,lakeland
14048,2016-09-26 00:44:00,270,larceny,northwestern,howard park
14050,2016-09-26 00:05:00,270,common assault,southern,cherry hill
14055,2016-09-25 23:35:00,269,common assault,central,downtown
14073,2016-09-25 21:12:00,269,agg. assault,northern,barclay
14074,2016-09-25 21:00:00,269,burglary,eastern,oldtown
14077,2016-09-25 20:30:00,269,larceny,southwestern,edmondson village
14080,2016-09-25 20:03:00,269,robbery - commercial,northeastern,lauraville
14082,2016-09-25 20:00:00,269,larceny from auto,southern,federal hill
14092,2016-09-25 19:19:00,269,robbery - street,central,druid heights
14095,2016-09-25 19:00:00,269,larceny from auto,central,poppleton
14096,2016-09-25 18:35:00,269,common assault,southeastern,canton
14098,2016-09-25 18:30:00,269,burglary,western,sandtown-winchester
14099,2016-09-25 18:07:00,269,larceny,southern,curtis bay
14101,2016-09-25 18:00:00,269,larceny,northeastern,belair-edison
14107,2016-09-25 17:00:00,269,larceny,southeastern,canton
14108,2016-09-25 17:00:00,269,auto theft,western,sandtown-winchester
14111,2016-09-25 16:03:00,269,shooting,western,harlem park
14116,2016-09-25 16:26:00,269,burglary,western,penn north
14117,2016-09-25 16:25:00,269,auto theft,southwestern,allendale
14118,2016-09-25 16:03:00,269,agg. assault,western,harlem park
14119,2016-09-25 16:00:00,269,burglary,northeastern,belair-edison
14120,2016-09-25 15:50:00,269,common assault,southwestern,edmondson village
14123,2016-09-25 15:32:00,269,burglary,northern,coldspring
14124,2016-09-25 15:25:00,269,agg. assault,central,upton
14125,2016-09-25 15:25:00,269,agg. assault,central,upton
14126,2016-09-25 15:20:00,269,common assault,northeastern,belair-edison
14130,2016-09-25 15:00:00,269,larceny from auto,central,upton
14136,2016-09-25 13:58:00,269,agg. assault,northern,coldspring
14138,2016-09-25 13:30:00,269,larceny from auto,southwestern,walbrook
14153,2016-09-25 11:00:00,269,burglary,southeastern,canton
14156,2016-09-25 10:30:00,269,common assault,northeastern,frankford
14157,2016-09-25 10:30:00,269,larceny from auto,eastern,oldtown
14158,2016-09-25 10:19:00,269,agg. assault,western,poppleton
14165,2016-09-25 09:00:00,269,larceny,southern,westport
14169,2016-09-25 07:15:00,269,larceny,southwestern,violetville
14171,2016-09-25 07:00:00,269,burglary,southern,brooklyn
14175,2016-09-25 05:10:00,269,common assault,southwestern,allendale
14181,2016-09-25 02:35:00,269,common assault,southwestern,morrell park
14183,2016-09-25 02:12:00,269,robbery - street,central,downtown
14184,2016-09-25 02:00:00,269,agg. assault,southern,lakeland
14185,2016-09-25 02:00:00,269,common assault,southeastern,highlandtown
14195,2016-09-25 01:00:00,269,larceny,southeastern,fells point
14196,2016-09-25 00:50:00,269,larceny,southern,federal hill
14199,2016-09-25 00:10:00,269,robbery - street,southeastern,canton
14202,2016-09-25 00:00:00,269,agg. assault,western,penn north
14203,2016-09-25 00:00:00,269,larceny,northeastern,belair-edison
14206,2016-09-25 00:00:00,269,larceny from auto,southeastern,canton
14208,2016-09-25 00:00:00,269,larceny from auto,southeastern,canton
14209,2016-09-24 23:55:00,268,auto theft,southwestern,violetville
14212,2016-09-24 23:21:00,268,burglary,southwestern,irvington
14217,2016-09-24 23:00:00,268,larceny from auto,central,druid heights
14219,2016-09-24 22:52:00,268,common assault,central,downtown
14220,2016-09-24 22:52:00,268,common assault,central,downtown
14221,2016-09-24 22:52:00,268,common assault,central,downtown
14225,2016-09-24 22:29:00,268,agg. assault,western,poppleton
14226,2016-09-24 22:00:00,268,larceny from auto,northeastern,lauraville
14227,2016-09-24 21:15:00,268,auto theft,southern,cherry hill
14232,2016-09-24 21:00:00,268,auto theft,western,harlem park
14233,2016-09-24 21:00:00,268,auto theft,northeastern,frankford
14234,2016-09-24 21:00:00,268,auto theft,eastern,oldtown
14244,2016-09-24 20:53:00,268,common assault,southern,cherry hill
14256,2016-09-24 20:00:00,268,common assault,northeastern,frankford
14257,2016-09-24 20:00:00,268,burglary,western,harlem park
14259,2016-09-24 20:00:00,268,larceny from auto,central,downtown
14260,2016-09-24 20:00:00,268,auto theft,southwestern,ten hills
14261,2016-09-24 19:52:00,268,common assault,western,sandtown-winchester
14264,2016-09-24 19:29:00,268,robbery - street,southeastern,highlandtown
14265,2016-09-24 19:00:00,268,robbery - street,central,upton
14268,2016-09-24 19:00:00,268,larceny from auto,eastern,barclay
14269,2016-09-24 19:00:00,268,auto theft,central,seton hill
14273,2016-09-24 18:50:00,268,common assault,western,sandtown-winchester
14278,2016-09-24 18:30:00,268,larceny from auto,central,upton
14279,2016-09-24 18:30:00,268,larceny from auto,southern,brooklyn
14280,2016-09-24 18:30:00,268,larceny from auto,eastern,middle east
14281,2016-09-24 18:20:00,268,robbery - residence,southern,cherry hill
14283,2016-09-24 18:11:00,268,agg. assault,southern,cherry hill
14284,2016-09-24 18:10:00,268,agg. assault,southwestern,edmondson village
14286,2016-09-24 18:00:00,268,burglary,southeastern,highlandtown
14289,2016-09-24 18:00:00,268,larceny,central,upton
14291,2016-09-24 18:00:00,268,auto theft,central,downtown
14296,2016-09-24 17:30:00,268,larceny from auto,northeastern,belair-edison
14297,2016-09-24 17:30:00,268,larceny,central,downtown
14302,2016-09-24 17:00:00,268,burglary,southwestern,morrell park
14304,2016-09-24 17:00:00,268,larceny from auto,southern,lakeland
14306,2016-09-24 16:30:00,268,burglary,southwestern,morrell park
14307,2016-09-24 16:30:00,268,auto theft,western,harlem park
14311,2016-09-24 15:00:00,268,common assault,central,upton
14313,2016-09-24 15:00:00,268,larceny,southeastern,fells point
14315,2016-09-24 14:54:00,268,common assault,eastern,middle east
14316,2016-09-24 14:45:00,268,agg. assault,central,upton
14317,2016-09-24 14:45:00,268,agg. assault,central,upton
14325,2016-09-24 13:09:00,268,homicide,western,hollins market
14328,2016-09-24 13:54:00,268,common assault,eastern,middle east
14329,2016-09-24 13:30:00,268,agg. assault,western,penn north
14330,2016-09-24 13:30:00,268,agg. assault,western,penn north
14331,2016-09-24 13:30:00,268,larceny from auto,southeastern,canton
14334,2016-09-24 12:24:00,268,larceny,northeastern,belair-edison
14338,2016-09-24 11:45:00,268,larceny,southeastern,little italy
14339,2016-09-24 11:45:00,268,larceny,southeastern,little italy
14342,2016-09-24 11:15:00,268,larceny,southeastern,inner harbor
14346,2016-09-24 11:00:00,268,burglary,central,reservoir hill
14348,2016-09-24 10:45:00,268,robbery - residence,eastern,middle east
14350,2016-09-24 10:30:00,268,burglary,southwestern,allendale
14352,2016-09-24 10:00:00,268,larceny,northeastern,frankford
14353,2016-09-24 10:00:00,268,auto theft,northeastern,belair-edison
14354,2016-09-24 09:54:00,268,common assault,central,downtown
14357,2016-09-24 09:30:00,268,larceny,northwestern,howard park
14364,2016-09-24 08:00:40,268,rape,western,penn north
14365,2016-09-24 07:09:00,268,common assault,central,inner harbor
14366,2016-09-24 07:09:00,268,common assault,central,inner harbor
14368,2016-09-24 04:45:00,268,larceny from auto,southwestern,morrell park
14370,2016-09-24 04:20:00,268,common assault,central,upton
14371,2016-09-24 04:15:00,268,common assault,central,inner harbor
14374,2016-09-24 03:28:00,268,agg. assault,southern,brooklyn
14376,2016-09-24 02:40:00,268,auto theft,northwestern,howard park
14379,2016-09-24 02:15:00,268,robbery - carjacking,northwestern,ashburton
14384,2016-09-24 01:02:00,268,auto theft,southwestern,beechfield
14389,2016-09-24 01:00:00,268,larceny from auto,southern,cherry hill
14392,2016-09-24 00:30:00,268,burglary,northern,mount washington
14399,2016-09-24 00:01:00,268,larceny,southern,federal hill
14403,2016-09-23 23:55:00,267,common assault,western,sandtown-winchester
14404,2016-09-23 23:45:00,267,larceny,southeastern,canton
14405,2016-09-23 23:32:00,267,agg. assault,southeastern,canton
14406,2016-09-23 23:32:00,267,agg. assault,southeastern,canton
14410,2016-09-23 23:30:00,267,larceny,central,downtown
14416,2016-09-23 23:00:00,267,agg. assault,southwestern,walbrook
14417,2016-09-23 23:00:00,267,auto theft,northeastern,belair-edison
14418,2016-09-23 22:50:00,267,agg. assault,central,downtown
14419,2016-09-23 22:25:00,267,common assault,central,downtown
14420,2016-09-23 22:00:00,267,common assault,central,downtown
14421,2016-09-23 22:00:00,267,burglary,western,sandtown-winchester
14422,2016-09-23 22:00:00,267,larceny from auto,northeastern,belair-edison
14423,2016-09-23 22:00:00,267,auto theft,northwestern,howard park
